Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Central Europe and the Baltics,CEB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1.16082E+12,1.24145E+12,1.31165E+12,1.4297E+12,1.51453E+12,1.67947E+12,1.86723E+12,2.06331E+12,2.06166E+12,2.16567E+12,2.3079E+12,2.38744E+12,2.48604E+12,2.5857E+12,2.69299E+12,2.81793E+12,3.04633E+12,3.19983E+12
Switzerland,CHE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2.659E+11,2.74768E+11,2.76778E+11,2.89452E+11,3.01741E+11,3.37573E+11,3.75641E+11,4.02151E+11,4.00891E+11,4.1525E+11,4.44549E+11,4.62615E+11,4.86239E+11,5.06895E+11,5.29568E+11,5.38606E+11,5.61167E+11,5.79644E+11
Channel Islands,CHI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1.54737E+11,1.62068E+11,1.71831E+11,1.89179E+11,2.06274E+11,2.57648E+11,2.80052E+11,2.75716E+11,2.72874E+11,3.09886E+11,3.50575E+11,3.74242E+11,3.94292E+11,4.04667E+11,4.07689E+11,4.16517E+11,4.47887E+11,4.72397E+11
China,CHN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4.10479E+12,4.55044E+12,5.1001E+12,5.76697E+12,6.62427E+12,7.6928E+12,9.02365E+12,1.00873E+13,1.11196E+13,1.24457E+13,1.39191E+13,1.53011E+13,1.67791E+13,1.83445E+13,1.9821E+13,2.13876E+13,2.32668E+13,2.53987E+13
Cote d'Ivoire,CIV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,40046282350,40001327484,40190258307,41780645868,43823638218,45834231465,47896189536,50069447928,52091548227,53761811464,52476906029,59209529183,65604358998,72723969105,80001283606,87323360875,95836748084,1.05468E+11
Cameroon,CMR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,33754298940,35741073332,38067498260,41743191498,43913230976,46806458405,50419995349,53193999851,54777997801,57312925777,60926183399,64915780367,69624785205,75116280438,80210094836,84856536734,89538347743,95445473796
"Congo, Dem. Rep.",COD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,21481677905,22464712751,24158215792,26480302860,28980361193,31446070587,34312035163,37157232992,38509451426,41727321542,45527503793,49689019931,54849584189,61179965000,66110756415,68437288037,72337232184,78365921094
"Congo, Rep.",COG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,12199084376,12959832379,13307863800,14141261058,15712678818,17197670847,17380233272,18705606803,20255970883,22285382189,23529134689,24891635828,26199940823,28505555553,29572839901,29059126467,28693520065,29693915857
Colombia,COL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2.75684E+11,2.87057E+11,3.03844E+11,3.28665E+11,3.54853E+11,3.90377E+11,4.28317E+11,4.5087E+11,4.59784E+11,4.85364E+11,5.31984E+11,5.63349E+11,5.99414E+11,6.39633E+11,6.65582E+11,6.86905E+11,7.09421E+11,7.45372E+11
Comoros,COM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1078020562,1120532120,1165353828,1219700724,1293381359,1367792982,1415772597,1501043284,1560887766,1639079857,1741922162,1832144991,1948188639,2026732349,2071268122,2163450282,2288692584,2424876349
Cabo Verde,CPV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1387218768,1483154808,1573789087,1780959717,1963378423,2184289119,2583238471,2808626380,2794084406,2868103402,3044224922,3136176249,3216832485,3297725124,3366547730,3563516895,3765681775,4053273974
Costa Rica,CRI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,32633961885,34241375059,36361464139,38959685914,41728313582,46102678508,51207898943,54631234447,54513450980,57879556279,61633610782,65828866819,68503995733,72253723775,75678484327,79754486839,84031346801,88345598621
Caribbean small states,CSS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,62225508486,65717854602,71412933950,76560085532,81931886381,90641225395,96298726743,99758827204,96966941729,99528602041,1.02694E+11,1.05947E+11,1.0907E+11,1.11623E+11,1.14193E+11,1.13035E+11,1.14857E+11,1.1912E+11
Cuba,CUB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,
Curacao,CUW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3161354942,3224111275,3293450040,3389167125,3518377050,3684150509,3876558631,4038433513,4047600358,4098135279,4209371340,4284141044,4324706422,4356341956,4415196867,4419442844,4425097214,4434702005
Cayman Islands,CYM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2702698475,2792121437,2900853251,3005760992,3300848909,3557173362,3768251085,3827818793,3579277549,3522652352,3638279419,3753656081,3868394009,4046210158,4205337878,4382957314,4602013050,
Cyprus,CYP,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,16045381858,16716229785,17420972933,18870120864,20504241182,22517208713,25199885122,27398683535,27385659229,27720950116,28345855875,27503256720,26181584323,25611618160,26889908088,29276211056,31694872619,33509176477
Czech Republic,CZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1.79347E+11,1.85474E+11,1.98029E+11,2.12091E+11,2.24201E+11,2.43445E+11,2.69056E+11,2.89157E+11,2.88245E+11,2.898E+11,3.0226E+11,3.05309E+11,3.20535E+11,3.39583E+11,3.55312E+11,3.72257E+11,4.02796E+11,4.22303E+11
Germany,DEU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2.33712E+12,2.4069E+12,2.46571E+12,2.5832E+12,2.62204E+12,2.81109E+12,2.98235E+12,3.10396E+12,3.01592E+12,3.18517E+12,3.41502E+12,3.48723E+12,3.62856E+12,3.80711E+12,3.89513E+12,4.07758E+12,4.30274E+12,4.40136E+12
Djibouti,DJI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,2342710799,,,,,,,
