Country Code,Country Name,Indicator Id,Indicator,Subindicator Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
JAM,Jamaica,32416,Press Freedom Index,Total,,3.33,4.17,7.5,5.5,8.63,4.88,4.75,7.67,NA,NA,9.88,10.9,11.18,12.45,NA,12.73,11.33
JPN,Japan,32416,Press Freedom Index,Total,7.5,8,10,8,12.5,11.75,6.5,3.25,2.5,NA,NA,25.17,26.02,26.95,28.67,NA,29.44,28.64
JOR,Jordan,32416,Press Freedom Index,Total,33.5,37,39.13,24,27.5,40.21,36,31.88,37,NA,NA,38.47,40.42,42.07,44.49,NA,43.24,41.71
KAZ,Kazakhstan,32416,Press Freedom Index,Total,42,42.5,44.17,36.17,41,41.63,35.33,49.67,68.5,NA,NA,55.08,54.94,53.46,54.55,NA,54.01,54.41
KEN,Kenya,32416,Press Freedom Index,Total,24.8,18.5,22.25,30,30.25,23.75,21.25,25,19,NA,NA,27.8,30.7,32.07,31.16,NA,31.2,30.82
KOR,"Korea, Rep.",32416,Press Freedom Index,Total,10.5,9.17,11.13,7.5,7.75,12.13,9,15.67,13.33,NA,NA,24.48,25.66,26.55,28.58,NA,27.61,23.51
KWT,Kuwait,32416,Press Freedom Index,Total,25.5,31.33,31.67,21.25,17,20.17,12.63,15.25,23.75,NA,NA,28.28,30.71,30.84,32.59,NA,33.61,31.91
KGZ,Kyrgyz Republic,32416,Press Freedom Index,Total,31.8,32,35.25,32,34,33.6,27,40,63,NA,NA,32.2,31.24,30.69,30.16,NA,30.92,31
LAO,Lao PDR,32416,Press Freedom Index,Total,89,94.83,64.33,66.5,67.5,75,70,92,80.5,NA,NA,67.99,,71.25,71.58,NA,66.41,66.41
LVA,Latvia,32416,Press Freedom Index,Total,,2.25,1,2.5,3,3.5,3,3,8.5,NA,NA,22.89,21.1,18.12,17.38,NA,18.62,19.63
LBN,Lebanon,32416,Press Freedom Index,Total,19.7,32.5,24.38,28.25,27,28.75,14,15.42,20.5,NA,NA,30.15,31.89,31.81,31.95,NA,33.01,31.15
LSO,Lesotho,32416,Press Freedom Index,Total,,17.75,29.5,19.5,16,29.5,29.5,27.5,24,NA,NA,28.36,28.36,28.36,28.78,NA,28.78,28.78
LBR,Liberia,32416,Press Freedom Index,Total,37.8,40,40,20.5,19,25.33,9.75,15.5,22.5,NA,NA,29.89,30.65,30.78,30.71,NA,31.12,30.33
LBY,Libya,32416,Press Freedom Index,Total,72.5,60,65,88.75,62.5,66.5,61.5,64.5,63.5,NA,NA,37.86,39.84,45.99,57.89,NA,56.81,56.79
LTU,Lithuania,32416,Press Freedom Index,Total,,2.83,3,4.5,6.5,7,4,2.25,2.5,NA,NA,18.24,19.2,18.8,19.95,NA,21.37,22.2
MDG,Madagascar,32416,Press Freedom Index,Total,22.8,8.17,18.5,24.5,15,20,21,45.83,34.88,NA,NA,28.62,29.38,27.43,27.04,NA,26.71,26.2
MWI,Malawi,32416,Press Freedom Index,Total,27.7,21,31,22.75,25.5,26.75,15,15.5,21,NA,NA,28.18,28.29,26.41,28.12,NA,28.97,27.43
MYS,Malaysia,32416,Press Freedom Index,Total,37.8,32,39.83,33,22.25,41,39.5,44.25,50.75,NA,NA,42.73,42.73,43.29,46.57,NA,46.89,47.41
MDV,Maldives,32416,Press Freedom Index,Total,,47.5,69.17,58.5,51.25,45.17,23.25,14,16,NA,NA,31.1,33.11,34.32,34.17,NA,39.3,37.95
MLI,Mali,32416,Press Freedom Index,Total,12.5,11,12.83,8,9,16.5,7.5,8,8,NA,NA,30.03,36.29,36.33,39.83,NA,38.27,36.15
MRT,Mauritania,32416,Press Freedom Index,Total,41.3,36.67,51,40,17.5,15.5,23.88,28.5,25.38,NA,NA,26.76,26.53,25.27,24.03,NA,26.49,29.09
MUS,Mauritius,32416,Press Freedom Index,Total,9.5,7.25,10.5,7.5,8,8.5,9,14,18,NA,NA,26.47,27.69,27.69,27.69,NA,26.67,26.45
MEX,Mexico,32416,Press Freedom Index,Total,24.8,17.67,27.83,45.5,45.83,53.63,46.13,48.25,47.5,NA,NA,45.3,45.04,43.69,49.33,NA,48.97,48.91
MDA,Moldova,32416,Press Freedom Index,Total,,27,20.5,17.5,19.17,24.75,21.38,33.75,19.13,NA,NA,26.01,25.35,27.85,28.83,NA,30.41,30.01
MNG,Mongolia,32416,Press Freedom Index,Total,24.5,18.25,19,12.5,19.25,23.4,20.83,23.33,19.42,NA,NA,29.93,30.3,25.25,27.61,NA,28.95,29.05
MNE,Montenegro,32416,Press Freedom Index,Total,,,,,11.5,19,10,17,28.5,NA,NA,32.97,34.78,34.63,32.79,NA,33.65,31.21
MAR,Morocco,32416,Press Freedom Index,Total,29,39.67,43,36.17,24.83,33.25,32.25,41,47.4,NA,NA,39.04,39.72,39.19,42.64,NA,42.42,43.13
MOZ,Mozambique,32416,Press Freedom Index,Total,23.5,14,16.25,10.5,11.5,23,20.5,19,26.5,NA,NA,28.01,29.26,29.98,30.25,NA,31.05,31.12
MMR,Myanmar,32416,Press Freedom Index,Total,96.8,95.5,103.63,88.83,94.75,93.75,94.38,102.67,94.5,NA,NA,44.71,41.43,42.08,45.48,NA,41.82,43.15
NAM,Namibia,32416,Press Freedom Index,Total,8,11,10,5.5,6,8.5,5.5,9,7,NA,NA,12.5,12.5,12.5,15.15,NA,17.08,20.24
NPL,Nepal,32416,Press Freedom Index,Total,63,51.5,84,86.75,73.5,53.75,43.25,35.63,36.38,NA,NA,34.61,36.16,32.71,32.62,NA,33.02,32.05
NLD,Netherlands,32416,Press Freedom Index,Total,0.5,0.5,0.5,0.5,0.5,3.5,4,1,0,NA,NA,6.48,6.46,9.22,8.76,NA,11.28,10.01
NZL,New Zealand,32416,Press Freedom Index,Total,,2.83,0.67,2,5,4.17,3,3,1.5,NA,NA,8.38,8.55,10.06,10.01,NA,13.98,13.62
NIC,Nicaragua,32416,Press Freedom Index,Total,,6.5,11.67,15.25,15.5,14.25,12.5,16.75,22.33,NA,NA,28.31,27.7,27.94,28.82,NA,31.01,30.41
NER,Niger,32416,Press Freedom Index,Total,18.5,15.75,18.33,13,24.5,25.5,37,48.5,28.5,NA,NA,23.08,23.59,23.85,24.62,NA,27.21,27.4
NGA,Nigeria,32416,Press Freedom Index,Total,15.5,31.5,37.75,38.75,32.23,49.83,37.75,46,51.5,NA,NA,34.11,34.24,34.09,35.9,NA,39.69,37.41
NOR,Norway,32416,Press Freedom Index,Total,0.5,0.5,0.5,0.5,2,0.75,1.5,0,0,NA,NA,6.52,6.52,7.75,8.79,NA,7.6,7.63
OMN,Oman,32416,Press Freedom Index,Total,,57.75,,,,,32.67,29.5,40.25,NA,NA,41.51,38.83,38.83,40.43,NA,40.46,40.67
PAK,Pakistan,32416,Press Freedom Index,Total,44.7,39,61.75,60.75,70.33,64.83,54.88,65.67,56.17,NA,NA,51.31,51.46,50.46,48.52,NA,43.55,43.24
PAN,Panama,32416,Press Freedom Index,Total,15.5,9.75,14.5,15,9.5,17.88,11.83,14.5,21.83,NA,NA,32.95,30.2,28.98,30.59,NA,32.12,30.56
PRY,Paraguay,32416,Press Freedom Index,Total,8.5,7.17,10.5,15.5,18.25,26.1,20.5,14.33,16.25,NA,NA,28.78,31.81,33.74,33.63,NA,35.64,32.32
